Harry,stabs,Riddle 's diary basilisk fang
Harry,stabs,reviving Ginny
Harry,stabs,destroying Riddle
Riddle,have,diary basilisk fang
Harry,give,diary Dumbledore
diary Dumbledore,be,curious diary
Harry,be,curious diary
diary Dumbledore,be,diary
Harry,be,diary
Lucius Malfoy,be,accompanied
Malfoys ' house elf,protect,Harry
Lucius Malfoy,be accompany,Dobby
Lucius,slip,diary Ginny 's cauldron Diagon Alley Chamber
Lucius,slip,diary Ginny 's cauldron Diagon Alley open Chamber
diary Ginny,have,cauldron Diagon Alley
Lucius,attempts,attack Harry revenge
Dobby,deflects,Harry
Dobby,deflects,twelve year old Harry
Dobby,magically deflects,Harry
Dobby,magically deflects,twelve year old Harry
petrified students,be,cured
Harry,returns,Privet Drive high spirits
Gryffindor,wins,House Cup
students,be,cured
Lockhart,be confine,St. Mungo 's Hospital
Harry,returns,Privet Drive spirits
Hagrid,be,released
Lockhart,be,confined
St. Mungo,have,Hospital
street,watches,Harry
dark street,watches,Harry
Harry wand,emit,sparks
Knight Bus,rescues,stranded wizards
Knight Bus,rescues,wizards
Harry,go,Minister Magic
Harry,go,Leaky Cauldron Diagon Alley Cornelius Fudge
asked,remain,Diagon Alley school starts
Harry,reunites,friends Ron Weasley Hermione Granger
Harry,reunites,best friends Ron Weasley Hermione Granger
Azkaban prison,be,believed
Mr Weasley,warns,Harry wizard Sirius Black
one,approaches,Harry
Harry,relives,parents ' deaths
school grounds,hunt,Black
dementors,patrol,school grounds
Hogwarts,announces,dementors
Harry,have,tea leaves
Professor Sybill Trelawney,later predicts,Voldemort 's servant
Voldemort,have,servant
Professor Sybill Trelawney,predicts,Voldemort 's servant
Quidditch match,dog near,pitch
Willow,destroys,Harry broom
Harry,be,uninjured
Whomping Willow,destroys,Harry broom
Harry Patronus charm,repel,dementors
Fred George Weasley,give,Harry Fred George Weasley Marauder 's Map
Harry Fred George Weasley Marauder,have,Map
Marauder,have,Map
Harry,lacks,guardian permission school outings
guardian permission school outings,sneaks,Hogsmeade
conversation Sirius Black Potters Voldemort,overhears kill,Sirius Black friend Peter Pettigrew
conversation Sirius Black betrayed Potters Voldemort,overhears kill,Sirius Black friend Peter Pettigrew
Black,be,Also Harry 's godfather
Black,be,Harry 's godfather
Black,breaks,Hogwarts
Black,breaks,though unharmed
Black,breaks,unharmed
Harry,be,unharmed
Black,later breaks Hogwarts,unharmed
Harry,be,though unharmed
Black,breaks twice,though unharmed
Black,later breaks Hogwarts twice,unharmed
Black,breaks Hogwarts,though unharmed
Black,later breaks twice,unharmed
Black,breaks Hogwarts twice,though unharmed
Black,later breaks,though unharmed
Black,breaks twice,Hogwarts
Black,later breaks Hogwarts twice,though unharmed
Black,later breaks Hogwarts,though unharmed
